RevolvingUtilizationOfUnsecuredLines,age,NumberOfTime30-59DaysPastDueNotWorse,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents,total_late_payments,serious_delinquent,is_young,debt_income_ratio,worsening_delinquency,Utilization_bucket_medium,Utilization_bucket_high,Utilization_bucket_maxed,actual_default,predicted_probability,predicted_decision
0.030323232,36,1,0.073493876,12000.0,4,0,0,0,0.0,1,0,0,881.926512,0,False,False,False,0,0.024450101,0
0.605087182,41,0,0.605583071,2220.0,7,0,1,0,2.0,0,0,0,1344.39441762,0,False,True,False,0,0.05494505,0
0.120499294,45,0,0.193215632,5040.0,14,0,0,0,0.0,0,0,0,973.80678528,0,False,False,False,0,0.015763817,0
0.751730621,48,5,0.308338332,1666.0,13,0,0,0,2.0,5,0,0,513.691661112,0,False,True,False,1,0.35236126,1
0.004457058,49,0,1.0,5400.0,10,0,1,0,0.0,0,0,0,1579.810312844,0,False,False,False,0,0.0055006514,0
0.83719789,46,3,0.249216535,6700.0,6,1,1,1,3.0,5,1,0,1669.7507845,1,False,True,False,0,0.52911735,1
0.230126478,50,0,0.634287366,3458.0,7,0,2,0,0.0,0,0,0,2193.365711628,0,False,False,False,0,0.026657782,0
0.169859553,55,0,0.139361385,3350.0,8,0,0,0,1.0,0,0,0,466.86063975,0,False,False,False,0,0.017048825,0
0.111826378,50,0,0.154754762,26667.0,17,0,2,0,2.0,0,0,0,4126.845238254,0,False,False,False,0,0.0153319035,0
0.632259112,77,0,0.474204947,4244.0,11,0,1,0,0.0,0,0,0,2012.525795068,0,False,True,False,0,0.033546533,0
0.0,76,0,0.062032263,6012.0,7,0,0,0,1.0,0,0,0,372.93796515599996,0,False,False,False,0,0.0071149142,0
0.827052558,36,0,0.220602527,4115.0,8,0,0,0,2.0,0,0,0,907.779398605,0,False,True,False,0,0.086275816,1
0.66937646,51,0,1.0,13258.0,23,0,2,0,2.0,0,0,0,13258.0,0,False,True,False,1,0.189343,1
0.333992374,36,2,0.338357795,10083.0,8,0,2,0,3.0,2,0,0,3411.661646985,0,True,False,False,0,0.097577825,1
0.9999999,28,0,0.20326766,2080.0,2,0,0,0,1.0,0,0,1,422.7967328,0,False,False,True,0,0.10448448,1
0.661451543,26,0,0.05956059,5825.0,6,0,0,0,4.0,0,0,1,346.94043675,0,False,True,False,0,0.071689434,1
0.879330362,34,0,0.332458443,8000.0,9,0,2,0,2.0,0,0,1,2659.667544,0,False,True,False,0,0.080564365,1
0.804884832,37,2,0.322413104,5005.0,23,0,0,0,2.0,2,0,0,1613.67758552,0,False,True,False,1,0.33640766,1
0.377160304,44,1,0.891555422,6666.0,10,0,2,0,1.0,1,0,0,5943.108443052,0,True,False,False,0,0.08127522,1
0.02728166,42,0,1.0,5400.0,4,0,0,0,0.0,0,0,0,1579.810312844,0,False,False,False,0,0.006934053,0
0.0,63,0,0.538795442,16586.0,15,0,3,0,1.0,0,0,0,8936.461201012,0,False,False,False,0,0.027711116,0
0.9999999,41,0,1.0,5400.0,2,0,0,0,0.0,0,0,0,1579.810312844,0,False,False,True,0,0.09367669,1
0.157900794,68,0,1.0,5400.0,9,0,2,0,0.0,0,0,0,1579.810312844,0,False,False,False,0,0.0056060106,0
0.157719455,57,0,0.211451101,11666.0,12,0,2,0,1.0,0,0,0,2466.788544266,0,False,False,False,0,0.009838869,0
0.952039643,52,0,0.360458453,6979.0,12,0,2,0,1.0,0,0,0,2515.639543487,0,False,False,True,0,0.05920147,0
0.178550565,53,0,0.272410455,10329.0,11,0,1,0,0.0,0,0,0,2813.727589695,0,False,False,False,0,0.010617977,0
0.023410572,56,0,1.0,5400.0,17,0,2,0,0.0,0,0,0,1579.810312844,0,False,False,False,0,0.008965376,0
0.286095187,42,0,0.264635888,2100.0,2,0,0,0,2.0,0,0,0,555.7353648,0,False,False,False,0,0.023674665,0
0.27866852,42,0,0.539243459,6000.0,9,0,2,0,4.0,0,0,0,3235.460754,0,False,False,False,0,0.0237047,0
0.218079196,69,0,1.0,5400.0,13,0,2,0,0.0,0,0,0,1579.810312844,0,False,False,False,0,0.0070213834,0
0.081727997,45,0,0.342741254,11833.0,11,0,2,0,1.0,0,0,0,4055.657258582,0,False,False,False,0,0.023533147,0
0.046865104,58,0,1.0,5400.0,4,0,2,0,0.0,0,0,0,1579.810312844,0,False,False,False,0,0.005701264,0
0.0,52,3,0.18717023,3600.0,7,0,1,0,0.0,3,0,0,673.812828,0,False,False,False,0,0.14850047,1
0.007740597,31,0,0.092984503,6000.0,6,0,0,0,2.0,0,0,1,557.907018,0,False,False,False,0,0.0105281025,0
0.325979221,63,0,0.288244453,5137.0,5,0,1,0,0.0,0,0,0,1480.711755061,0,True,False,False,0,0.017650507,0
0.012376157,86,0,1.0,5400.0,13,0,0,0,0.0,0,0,0,1579.810312844,0,False,False,False,0,0.005305286,0
0.888822236,59,0,0.324446814,3750.0,9,0,0,0,3.0,0,0,0,1216.6755524999999,0,False,True,False,0,0.1266089,1
0.11938366,53,0,0.268210368,10666.0,18,0,1,0,4.0,0,0,0,2860.731785088,0,False,False,False,0,0.013478068,0
0.041948159,64,0,1.0,5400.0,16,0,1,0,0.0,0,0,0,1579.810312844,0,False,False,False,0,0.005697716,0
0.352794998,54,1,1.0,5400.0,13,0,3,0,4.0,1,0,0,1579.810312844,0,True,False,False,0,0.08947396,1
0.020370535,71,0,0.323558814,3000.0,28,0,1,0,0.0,0,0,0,970.676442,0,False,False,False,0,0.009822568,0
0.091408666,45,0,0.166023166,3366.0,8,0,1,0,2.0,0,0,0,558.833976756,0,False,False,False,0,0.010070402,0
0.47752827,73,0,1.0,3052.0,29,0,2,0,0.0,0,0,0,3052.0,0,True,False,False,0,0.036858577,0
0.077857023,52,0,0.309483726,7127.0,4,0,1,0,3.0,0,0,0,2205.690515202,0,False,False,False,0,0.0077023176,0
0.0,40,0,1.0,5400.0,11,0,1,0,1.0,0,0,0,1579.810312844,0,False,False,False,0,0.011222163,0
0.038187238,41,0,0.420698633,9217.0,4,0,2,0,0.0,0,0,0,3877.5793003609997,0,False,False,False,0,0.012539004,0
0.112635434,49,0,0.223050354,5500.0,7,0,0,0,1.0,0,0,0,1226.776947,0,False,False,False,0,0.011841459,0
0.066300832,63,0,1.0,5400.0,9,0,1,0,0.0,0,0,0,1579.810312844,0,False,False,False,0,0.0060681887,0
0.122707297,32,0,0.390742872,7820.0,16,0,2,0,1.0,0,0,1,3055.6092590400003,0,False,False,False,1,0.04261757,0
0.776351971,47,0,0.390318054,4275.0,9,0,2,0,3.0,0,0,0,1668.6096808500001,0,False,True,False,0,0.064745076,1
0.181718588,67,0,0.615310775,4166.0,8,0,1,0,0.0,0,0,0,2563.38468865,0,False,False,False,0,0.007918607,0
0.9999999,49,0,0.148140068,9166.0,2,0,0,0,0.0,0,0,0,1357.8518632880002,0,False,False,True,0,0.062748015,1
0.060478954,70,0,0.042526182,3150.0,3,0,0,0,0.0,0,0,0,133.9574733,0,False,False,False,0,0.0046349685,0
0.029012904,46,0,1.0,5400.0,7,0,1,0,0.0,0,0,0,1579.810312844,0,False,False,False,0,0.0071250945,0
0.571684711,32,0,0.077475789,3200.0,5,3,0,0,0.0,3,1,1,247.92252480000002,0,True,False,False,0,0.45071802,1
0.000336442,34,0,0.159802972,12383.0,7,0,1,0,2.0,0,0,1,1978.840202276,0,False,False,False,0,0.01005142,0
0.018098652,81,0,0.095803395,9602.0,7,0,0,0,0.0,0,0,0,919.90419879,0,False,False,False,0,0.0039243237,0
0.961759306,55,2,0.367873723,5384.0,7,0,1,1,2.0,3,0,0,1980.632124632,0,False,False,True,1,0.35319808,1
0.0,34,0,0.305157919,4400.0,8,0,1,0,1.0,0,0,1,1342.6948436,0,False,False,False,0,0.014455961,0
1.0,48,0,0.466785159,4500.0,18,0,1,0,0.0,0,0,0,2100.5332155,0,False,False,True,0,0.16975403,1
0.9999999,38,0,0.040274207,3500.0,1,2,0,0,1.0,2,1,0,140.9597245,0,False,False,True,0,0.4034042,1
0.123238967,57,0,0.011065191,7500.0,4,0,0,0,1.0,0,0,0,82.9889325,0,False,False,False,0,0.010198234,0
0.055491395,39,0,1.0,5400.0,5,0,1,0,0.0,0,0,0,1579.810312844,0,False,False,False,0,0.0074603357,0
0.353738474,65,0,0.379633902,6500.0,6,0,1,0,0.0,0,0,0,2467.620363,0,True,False,False,0,0.016734265,0
0.006816847,67,0,0.416597234,6000.0,13,0,3,0,0.0,0,0,0,2499.583404,0,False,False,False,0,0.011553569,0
0.0,63,0,0.161207484,19080.0,7,0,1,0,1.0,0,0,0,3075.8387947200004,0,False,False,False,0,0.004008254,0
0.306615667,53,0,0.320165813,4100.0,7,0,1,0,1.0,0,0,0,1312.6798333000002,0,True,False,False,0,0.024456106,0
1.0,33,2,0.111083622,4041.0,3,0,0,1,0.0,3,0,1,448.88891650200003,0,False,False,True,1,0.33773288,1
0.053353566,45,0,0.159034715,10110.0,11,0,1,0,3.0,0,0,0,1607.84096865,0,False,False,False,0,0.009159218,0
0.085884528,72,0,1.0,5400.0,4,0,0,0,0.0,0,0,0,1579.810312844,0,False,False,False,0,0.0046645957,0
0.961006499,52,0,0.444357367,3827.0,4,0,1,0,0.0,0,0,0,1700.555643509,0,False,False,True,0,0.05828058,0
0.301214642,62,1,0.550064277,7000.0,17,0,2,0,0.0,1,0,0,3850.4499390000005,0,True,False,False,0,0.05034195,0
0.9999999,65,0,0.165706974,3125.0,5,0,1,0,0.0,0,0,0,517.83429375,0,False,False,True,0,0.019455146,0
0.05187958,84,0,0.098816864,6000.0,10,0,1,0,0.0,0,0,0,592.9011840000001,0,False,False,False,0,0.006920236,0
0.52710085,50,3,0.467539553,5498.0,15,1,1,1,1.0,5,1,0,2570.532462394,1,True,False,False,1,0.5605006,1
0.034055506,85,1,0.01076509,2600.0,9,0,0,0,0.0,1,0,0,27.989234,0,False,False,False,0,0.037103157,0
0.236010581,43,0,0.794037448,5500.0,15,0,4,0,2.0,0,0,0,4367.205964,0,False,False,False,0,0.09571213,1
0.001882132,35,1,0.330762639,5834.0,5,0,1,0,4.0,1,0,0,1929.669235926,0,False,False,False,1,0.039812647,0
0.006415907,33,0,1.0,5400.0,6,0,2,0,0.0,0,0,1,1579.810312844,0,False,False,False,0,0.009226254,0
0.703627004,37,1,1.0,1500.0,8,0,1,0,4.0,1,0,0,1500.0,0,False,True,False,0,0.13667741,1
0.472849007,67,0,0.300560275,5532.0,7,0,2,0,0.0,0,0,0,1662.6994413,0,True,False,False,0,0.015314111,0
0.9999999,57,0,1.0,5400.0,5,0,1,0,0.0,0,0,0,1579.810312844,0,False,False,True,0,0.045814715,0
0.048850024,57,0,0.327686754,3600.0,11,0,1,0,1.0,0,0,0,1179.6723144,0,False,False,False,0,0.009654693,0
0.981023446,32,0,0.306117591,4200.0,8,0,0,0,1.0,0,0,1,1285.6938822000002,0,False,False,True,0,0.089596294,1
0.319961366,36,0,1.0,5400.0,8,0,0,0,1.0,0,0,0,1579.810312844,0,True,False,False,0,0.023735167,0
0.978469083,39,3,0.500466604,7500.0,14,0,2,0,2.0,3,0,0,3753.49953,0,False,False,True,0,0.41433144,1
0.071783151,66,0,0.016995751,4000.0,5,0,0,0,0.0,0,0,0,67.983004,0,False,False,False,0,0.0039251903,0
0.568847926,49,0,0.163307412,6300.0,5,0,1,0,0.0,0,0,0,1028.8366956,0,True,False,False,0,0.033154473,0
0.120196566,61,0,0.240344957,8000.0,8,0,1,0,0.0,0,0,0,1922.759656,0,False,False,False,0,0.005783281,0
0.05326617,77,1,0.547745225,10000.0,23,0,4,0,0.0,1,0,0,5477.45225,0,False,False,False,0,0.10098621,1
0.022693713,79,0,1.0,5400.0,6,0,0,0,0.0,0,0,0,1579.810312844,0,False,False,False,0,0.0038434656,0
0.952349217,46,0,0.197001249,2400.0,4,0,0,0,0.0,0,0,0,472.80299759999997,0,False,False,True,0,0.08303731,1
0.064749945,66,0,0.14706417,5500.0,8,0,2,0,0.0,0,0,0,808.852935,0,False,False,False,0,0.0061316495,0
0.032389762,68,0,1.0,5400.0,8,0,1,0,0.0,0,0,0,1579.810312844,0,False,False,False,0,0.002560413,0
0.02413419,61,0,0.341996129,3616.0,11,0,1,0,1.0,0,0,0,1236.658002464,0,False,False,False,0,0.010220659,0
0.016687473,50,0,0.064738524,5946.0,5,0,0,0,3.0,0,0,0,384.935263704,0,False,False,False,0,0.011628488,0
0.001829231,63,0,1.0,5400.0,10,0,0,0,0.0,0,0,0,1579.810312844,0,False,False,False,0,0.005525215,0
0.0,42,1,0.442820658,7047.0,12,0,3,0,2.0,1,0,0,3120.557176926,0,False,False,False,0,0.039760828,0
0.253438263,54,0,0.577526534,4333.0,16,0,1,0,0.0,0,0,0,2502.422471822,0,False,False,False,0,0.027679758,0
0.186554536,40,0,1.0,5400.0,6,0,1,0,0.0,0,0,0,1579.810312844,0,False,False,False,0,0.013422186,0
0.478152839,42,0,1.0,5400.0,7,0,2,0,7.0,0,0,0,1579.810312844,0,True,False,False,0,0.030551454,0
0.546625459,40,1,0.098308891,14250.0,4,1,0,0,0.0,2,1,0,1400.90169675,1,True,False,False,1,0.22924978,1
0.314367508,51,1,0.28897466,11917.0,13,0,2,0,2.0,1,0,0,3443.71102322,0,True,False,False,0,0.047877025,0
0.056930751,58,0,0.238195756,9000.0,10,0,1,0,3.0,0,0,0,2143.761804,0,False,False,False,0,0.008804594,0
0.443413437,46,0,0.623415882,8600.0,7,0,2,0,4.0,0,0,0,5361.3765852,0,True,False,False,0,0.04853948,0
0.093974603,33,0,0.368527406,7917.0,12,0,1,0,0.0,0,0,1,2917.631473302,0,False,False,False,0,0.023829598,0
0.9999999,27,0,1.0,5400.0,4,0,0,0,0.0,0,0,1,1579.810312844,0,False,False,True,0,0.094571084,1
0.016543069,36,0,0.169318483,7541.0,6,0,2,0,3.0,0,0,0,1276.830680303,0,False,False,False,0,0.0076949666,0
0.991923853,43,1,0.310990242,6250.0,9,0,1,0,3.0,1,0,0,1943.6890124999998,0,False,False,True,0,0.15326318,1
0.876086455,48,0,1.0,2000.0,3,0,1,0,2.0,0,0,0,2000.0,0,False,True,False,0,0.070238255,1
0.839907542,29,0,1.0,2.0,8,0,0,0,0.0,0,0,1,2.0,0,False,True,False,0,0.04111987,0
0.027136493,57,0,0.251124813,6000.0,25,0,2,0,0.0,0,0,0,1506.748878,0,False,False,False,0,0.012287273,0
0.075849847,68,0,1.0,5400.0,15,0,1,0,2.0,0,0,0,1579.810312844,0,False,False,False,0,0.0058195763,0
0.951209758,36,0,0.061445262,2310.0,2,0,0,0,2.0,0,0,0,141.93855522,0,False,False,True,0,0.12297037,1
0.479507032,54,0,0.847180748,5692.0,10,0,2,0,0.0,0,0,0,4822.152817616,0,True,False,False,0,0.048837088,0
0.016599078,82,0,1.0,0.0,5,0,0,0,0.0,0,0,0,0.0,0,False,False,False,0,0.004121257,0
0.047634491,63,0,0.041983207,2500.0,9,0,0,0,0.0,0,0,0,104.9580175,0,False,False,False,0,0.016023742,0
0.138763894,57,1,0.13865901,5920.0,13,0,0,0,1.0,1,0,0,820.8613392,0,False,False,False,0,0.052910198,0
0.373905821,63,1,0.30333855,3833.0,8,0,1,0,0.0,1,0,0,1162.6966621499998,0,True,False,False,0,0.049973056,0
0.000621749,52,0,0.237327546,12901.0,10,0,2,0,3.0,0,0,0,3061.762670946,0,False,False,False,0,0.010148354,0
0.0,65,1,0.515065757,6006.0,17,0,2,0,0.0,1,0,0,3093.484936542,0,False,False,False,0,0.01627169,0
0.792219085,48,3,0.786014266,15000.0,25,0,3,0,0.0,3,0,0,11790.21399,0,False,True,False,0,0.26545194,1
0.961610637,50,0,0.201680672,8210.0,13,0,0,0,1.0,0,0,0,1655.79831712,0,False,False,True,0,0.06373219,1
0.233301655,71,0,0.20417685,4500.0,11,0,1,0,0.0,0,0,0,918.7958249999999,0,False,False,False,0,0.014742689,0
0.873481732,42,0,0.53873267,12766.0,11,0,3,0,0.0,0,0,0,6877.46126522,0,False,True,False,0,0.09621262,1
0.95566447,53,0,0.564831261,1688.0,6,0,0,0,0.0,0,0,0,953.435168568,0,False,False,True,0,0.09965298,1
0.9999999,44,1,0.876712329,8102.0,5,0,2,0,2.0,1,0,0,7103.123289558,0,False,False,True,0,0.2660939,1
0.30428262,32,0,0.274722886,4600.0,8,0,1,0,0.0,0,0,1,1263.7252756,0,True,False,False,0,0.021819986,0
0.99340066,32,0,0.120646559,6000.0,3,0,0,0,2.0,0,0,1,723.879354,0,False,False,True,0,0.09947748,1
0.491954789,32,0,0.177573167,3040.0,10,0,0,0,1.0,0,0,1,539.82242768,0,True,False,False,0,0.07459382,1
0.100273342,39,0,0.447159317,5033.0,5,0,1,0,0.0,0,0,0,2250.552842461,0,False,False,False,0,0.012227998,0
0.658606265,41,0,0.331726477,5600.0,11,0,1,0,3.0,0,0,0,1857.6682712000002,0,False,True,False,0,0.05028754,0
0.001519711,43,0,0.380680296,11200.0,8,0,2,0,2.0,0,0,0,4263.6193152,0,False,False,False,0,0.008163539,0
0.726810267,61,0,0.219839008,20000.0,21,0,2,0,0.0,0,0,0,4396.78016,0,False,True,False,0,0.03391856,0
0.127797517,46,0,1.0,1100.0,6,0,1,0,0.0,0,0,0,1100.0,0,False,False,False,0,0.0126622375,0
0.03050621,63,0,1.0,5400.0,8,0,1,0,0.0,0,0,0,1579.810312844,0,False,False,False,0,0.0041557485,0
0.015545339,49,0,1.0,5400.0,6,0,1,0,0.0,0,0,0,1579.810312844,0,False,False,False,0,0.0071416968,0
0.0,63,0,0.502165945,3000.0,6,0,1,0,0.0,0,0,0,1506.497835,0,False,False,False,0,0.010489388,0
0.018805187,64,0,0.003857033,11666.0,11,0,0,0,0.0,0,0,0,44.996146978,0,False,False,False,0,0.0058693686,0
0.050117159,53,0,1.0,0.0,10,0,1,0,0.0,0,0,0,0.0,0,False,False,False,0,0.0116567835,0
0.0,63,0,0.464764692,4100.0,6,0,1,0,0.0,0,0,0,1905.5352372,0,False,False,False,0,0.0066555482,0
0.211747398,49,0,0.573242342,6300.0,27,0,2,0,3.0,0,0,0,3611.4267546,0,False,False,False,1,0.022811243,0
0.79487448,62,0,1.0,1650.0,6,0,1,0,0.0,0,0,0,1650.0,0,False,True,False,0,0.046104994,0
0.013215652,77,0,0.195025856,4060.0,11,0,1,0,0.0,0,0,0,791.80497536,0,False,False,False,0,0.0051199095,0
0.03125625,52,0,0.28314431,5113.0,16,0,1,0,0.0,0,0,0,1447.71685703,0,False,False,False,0,0.008518883,0
0.327194711,38,1,0.317396837,5500.0,13,0,1,1,2.0,2,0,0,1745.6826035,0,True,False,False,0,0.14578143,1
0.443951605,43,0,0.457095019,7166.0,11,0,2,1,1.0,1,0,0,3275.542906154,0,True,False,False,0,0.07893063,1
0.014836094,58,0,0.417350528,4264.0,4,0,2,0,0.0,0,0,0,1779.582651392,0,False,False,False,0,0.006443088,0
0.109849385,41,0,0.602839277,5916.0,9,0,2,0,1.0,0,0,0,3566.3971627319997,0,False,False,False,0,0.021618731,0
0.146065687,63,0,1.0,5400.0,1,0,0,0,0.0,0,0,0,1579.810312844,0,False,False,False,0,0.007334518,0
0.234510326,23,0,0.143958869,2333.0,2,0,0,0,0.0,0,0,1,335.856041377,0,False,False,False,1,0.022684867,0
0.579772046,42,0,0.482827609,5997.0,10,0,1,0,1.0,0,0,0,2895.517171173,0,True,False,False,0,0.046888754,0
0.216997027,72,0,1.0,5400.0,13,0,1,0,0.0,0,0,0,1579.810312844,0,False,False,False,0,0.0069187,0
0.058996067,70,0,0.009430997,3180.0,5,0,0,0,0.0,0,0,0,29.99057046,0,False,False,False,0,0.0045059966,0
0.352664734,35,0,0.346059449,11000.0,5,0,2,0,1.0,0,0,0,3806.6539390000003,0,True,False,False,0,0.018816052,0
0.067080488,52,0,0.478336772,6300.0,6,0,2,0,0.0,0,0,0,3013.5216636,0,False,False,False,0,0.015588629,0
0.794554235,52,0,0.332681468,8692.0,8,0,1,0,0.0,0,0,0,2891.6673198559997,0,False,True,False,0,0.037663452,0
0.001450122,47,0,0.488151185,10000.0,7,0,2,0,0.0,0,0,0,4881.51185,0,False,False,False,0,0.012337466,0
0.108493973,43,0,1.0,5400.0,9,0,1,0,5.0,0,0,0,1579.810312844,0,False,False,False,0,0.010003838,0
0.021349466,39,0,0.091954023,2000.0,3,0,0,0,0.0,0,0,0,183.90804599999998,0,False,False,False,0,0.007549674,0
0.049189039,46,0,1.0,5400.0,9,0,1,0,0.0,0,0,0,1579.810312844,0,False,False,False,0,0.008098727,0
0.0,32,0,0.538048344,3350.0,3,0,1,0,2.0,0,0,1,1802.4619524,0,False,False,False,0,0.018911183,0
0.027510593,79,0,1.0,5400.0,6,0,1,0,0.0,0,0,0,1579.810312844,0,False,False,False,0,0.003259212,0
0.054681884,60,1,0.162078756,8100.0,16,0,0,0,1.0,1,0,0,1312.8379235999998,0,False,False,False,0,0.03511831,0
0.119040018,42,0,0.43375481,5456.0,12,0,2,0,0.0,0,0,0,2366.56624336,0,False,False,False,0,0.017880715,0
0.992308876,55,0,1.0,2450.0,8,0,3,0,0.0,0,0,0,2450.0,0,False,False,True,0,0.07175837,1
1.0,50,0,0.431104593,15000.0,11,0,2,1,2.0,1,0,0,6466.568894999999,0,False,False,True,1,0.2614574,1
0.101018899,52,0,0.234858553,5266.0,11,0,1,0,2.0,0,0,0,1236.765140098,0,False,False,False,0,0.011829247,0
0.454220826,78,0,0.873533246,2300.0,7,0,1,0,2.0,0,0,0,2009.1264658,0,True,False,False,0,0.017055266,0
0.531128005,46,0,1.0,2333.0,8,0,1,0,2.0,0,0,0,2333.0,0,True,False,False,0,0.07398421,1
0.057844296,51,0,1.0,5400.0,8,0,1,1,0.0,1,0,0,1579.810312844,0,False,False,False,0,0.055579178,0
0.9999999,24,98,0.0,1488.0,0,98,0,98,0.0,294,1,1,0.0,1,False,False,True,0,0.5726046,1
0.372853466,32,0,0.081205783,3250.0,3,0,0,0,0.0,0,0,1,263.91879475,0,True,False,False,0,0.02935192,0
0.381146021,73,0,0.13871155,12060.0,7,0,1,0,0.0,0,0,0,1672.861293,0,True,False,False,0,0.010588592,0
0.0,42,3,0.05365561,11666.0,5,1,0,0,3.0,4,1,0,625.94634626,1,False,False,False,0,0.26790836,1
0.0358056,62,0,0.268891446,7820.0,27,0,1,0,0.0,0,0,0,2102.7311077199997,0,False,False,False,0,0.012270263,0
